Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
415271075262235,Raise Up,Fight for $15,2894,51
49560242814,Consumer Energy Alliance,CONSUMER ENERGY ALLIANCE,2800,69
44357790109,Republic Services,Republic Services,2780,367
2283535575207809,Ditch Mitch,DITCH FUND,2760,9
293225127381200,Patriot Depot,The Patriot Depot,2752,142
203197030603239,8 Billion Trees,8 Billion Trees LLC,2748,5
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,2734,30
228754857151053,House Majority PAC,House Majority PAC,2727,37
113697513378680,Clean Energy Matters,Clean Energy Matters,2694,4
307049119928367,Congressman Jim Baird,Office of Congressman Jim Baird,2680,12
8492293163,Environmental Defense Fund,Environmental Defense Fund,2680,253
18479402361,No Kid Hungry,No Kid Hungry,2677,95
107150944064036,Winning for Alabama,Winning for Alabama,2665,10
1691667177798461,Brut,Brut,2654,244
182997028419749,Florida Education Association (FEA),Florida Education Association,2589,12
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,2577,18
654702428226892,Stop the Corridor,Stop the Corridor,2569,6
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,2563,34
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",2491,22
203805062990264,Ben Shapiro,The Daily Wire,2489,63
373981446795978,16 Counties Coalition,Maine Momentum,2462,135
1925751504337881,MJ for Texas,MJ FOR TEXAS,2458,76
108049693995845,Rep Republicans,Rep Republican,2453,468
237105299784007,Our Health California,Our Health California,2437,8
1502654549792632,Protect Our Care,Sixteen Thirty Fund,2382,99
101750841237552,The Roundup,"PETE FOR AMERICA, INC.",2379,336
53674651369,Susan B. Anthony List,Susan B. Anthony List Education Fund,2306,18
262536810935097,Housing Is A Human Right,AIDS HEALTHCARE FOUNDATION,2297,74
88224465289,Dropps,"Dropps (Cot'n Wash, Inc.)",2292,2
281844617168,Jewish Voice Ministries International,JEWISH VOICE MINISTRIES INTERNATIONAL,2290,76
101018071405012,Benefits USA,Dollar Informer,2266,1
161453087348302,The Committee to Defend the President,THE COMMITTEE TO DEFEND THE PRESIDENT,2234,3
385473284886474,Hillsdale College,HILLSDALE COLLEGE,2206,103
6985452607,Brita USA,The Clorox Company,2162,4
103197217821401,Donald J. Trump 2020,Trump Collections,2147,4
1422088741363688,NYC Department of Homeless Services,NYC Department of Homeless Services,2097,2
213792049451918,Stand For America Now,Stand For America Inc,2063,23
111293193691611,Shop Trump 2020,Iminder P Singh,2057,112
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,2057,346
1596671280578981,Schools & Communities First,Schools and Communities First,2044,31
604038030097923,We Make Michigan,The Story of Us,2041,13
260754507296508,The Voter Participation Center,Voter Participation Center,2001,563
34362997676,United States Holocaust Memorial Museum,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,1995,88
95356211637,Ben Ferguson,Ben Ferguson show,1991,9
1999055133489428,New Yorkers United for Justice,The Dream Corps,1984,6
170591064699,Southern Poverty Law Center,"SOUTHERN POVERTY LAW CENTER, INC., THE",1983,30
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,1982,1
2353537341582545,Unicorn Politics,"Unicorn Wealth, LLC",1979,106
103156981159122,Beyond Patriots,Beyond Patriots LLC,1955,28
167586229923327,World Food Program USA,World Food Program USA,1934,54
203330919857759,All On The Line,National Redistricting Action Fund,1920,147
11791104453,NRDC,Natural Resources Defense Council,1857,92
344690446467832,The Copper Courier,Courier Newsroom,1853,55
102046524596787,Outside Look,TOM STEYER 2020,1850,4
20876805343,March of Dimes,MARCH OF DIMES INC.,1831,65
106700630683805,Bill Conway,Friends of Bill Conway,1784,18
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,1782,25
405469100189512,Still My President - Donald Trump,Red State Politics LLC,1768,60
9062006483,REI,"RECREATIONAL EQUIPMENT, INC.",1735,12
18982436812,ACLU,American Civil Liberties Union,1698,153
30914589895,The International Fellowship of Christians and Jews,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",1682,18
154471447959196,Institute for Veterans and Military Families - IVMF,Institute for Veterans and Military Families,1675,17
435917576827538,Minnesotans for Line 3,Minnesotans for Line 3,1661,25
108926330594488,Colorado's Health Care Future,"Partnership for America’s Health Care Future Action, Inc.",1653,729
2177005695867568,Minnesota Ag-Energy Alliance,Minnesota AG Energy Alliance,1648,9
49651563727,Live Action,Live Action,1641,16
8057376739,The Nature Conservancy,Nature Conservancy,1639,6
294196590710262,FWD.us,FWD.us,1603,275
104038122501,Mary's Place,MARY'S PLACE SEATTLE,1601,9
1438808983108348,BOLD PAC,CHC BOLD PAC,1592,16
46093654473,National Republican Congressional Committee,NRCC,1589,44
143152622368089,San Diego Zoo Safari Park,ZOOLOGICAL SOCIETY OF SAN DIEGO,1586,54
265268336865693,Do Amore,Do Amore Limited Company,1571,2
25998443394,MedPage Today,"EVERYDAY HEALTH, INC.",1550,16
85452072376,Newsmax,Newsmax Media,1537,2
5435784683,Greenpeace USA,"GREENPEACE, INC.",1532,34
252814820267,HIAS,HIAS,1527,13
109259090549237,Yes on National Popular Vote,YES ON NATIONAL POPULAR VOTE,1524,38
289446947817747,Global Citizen,"GLOBAL POVERTY PROJECT, INC.",1515,18
169294473121454,Policetees.com,PoliceTees.com,1495,4
267180743723148,National Geographic Society,National Geographic Society,1487,42
119746614730099,Reliant Energy ®,"Reliant Energy Retail Services, LLC",1483,136
1037157259782946,Colorado Way,The Story of Us,1480,11
6236054211,Brady,Brady Campaign to Prevent Gun Violence,1478,39
23996308754,Senate Conservatives,SENATE CONSERVATIVES FUND,1472,45
324558475104607,United We Dream Action,United We Dream Action,1470,149
201446296572389,Compassion in World Farming (USA),Compassion In World Farming,1462,3
104006944272732,Honest Arizona,Advancing AZ,1450,32
100145644726687,Opportunity For All Floridians,Opportunity For All Floridians,1440,61
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",1434,36
202851657003895,We Are PA,The Story of Us,1432,10
129914120385683,Families USA,Families USA,1431,10
175034712516314,WaterAid America,WaterAid America,1419,10
1884107931849913,Republicans for the Rule of Law,Defending Democracy Together,1367,10
112343553514636,Learn More,Brittney Diane Prieto,1358,2
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,1341,40
104113087669604,Opportunity Arizona,Opportunity Arizona,1294,12
107925603976843,Protect App-Based Drivers & Services,"Protect App-Based Drivers & Services, a coalition of on-demand drivers and network companies, small businesses, community groups and public safety organizations.",1294,49
456966364681704,Winning For Women,Winning for Women,1284,73
219242560293,Meals on Wheels America,Meals on Wheels America,1281,20
80080296729,The Greater Boston Food Bank,"GREATER BOSTON FOOD BANK, INC., THE",1281,25
137569740231452,Respect The Look,Respect The Look,1277,217
36987752239,The Reporters Committee for Freedom of the Press,Reporters Committee for Freedom of the Press with Facebook Ad Credits,1250,4
7833534974,Florida Democratic Party,Florida Democratic Party,1248,19
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",1246,14
341881063685,"Imprimis, a Publication of Hillsdale College",HILLSDALE COLLEGE,1243,28
159616034235,Walmart,WALMART INC.,1234,11
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,1226,70
1306330389478264,Enbridge Line 3,Enbridge Inc.,1224,20
1837115116571746,Topic,"First Look Productions, Inc",1214,6
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,1189,482
7976226799,The Daily Show,Comedy Central,1159,4
193618220508,LIFE Today,LIFE Outreach International,1154,9
114273963301012,Political,Info-Political.com,1145,4
147342179188541,Yes on B - Better Choice,"Yes on B for a Better Choice: A coalition of first responders, fire safety experts, housing advocates, elected officials, business leaders and taxpayers. Committee major funding from Newland Sierra, LLC",1140,46
271953073708695,National Senior Benefits,National Senior Benefits,1138,17
605168822998856,314 Action,314 ACTION FUND,1117,52
305832706292882,American Gun Association,GunAssociation.org,1107,156
5633824547,FreedomWorks,"FREEDOMWORKS, INC.",1102,129
118852951506737,Industry City,Industry City,1094,16
317667194946264,Ro Khanna,RO FOR CONGRESS INC,1092,60
555787351119974,Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,1077,11
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",1068,4
215485388588143,Ann Wagner,Office of Congresswoman Ann Wagner,1067,17
12503116997,Dennis Prager,Salem Media,1065,4
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",1057,1105
69039563201,Open Doors USA,"OPEN DOORS WITH BROTHER ANDREW, INC.",1055,321
2225580284361712,Tommy Tuberville,"TUBERVILLE FOR SENATE, INC.",1051,25
153045622000917,Home Professionals,Home Professionals,1044,794
100822738050183,Trump Star 2020,Greek Steel LLC,1042,59
1533092446942704,Nicole Malliotakis for Congress,NICOLE FOR NEW YORK,1037,14
38897314734,The Trust for Public Land,"TRUST FOR PUBLIC LAND, THE",1032,6
718529505167596,Church Scandal,X Social Media LLC,1027,2
420785874975425,Conservative Institute,The Conservative Institute,1022,449
132066233534659,Healthcare Education Project,Healthcare Education Project,1020,3
166618413413767,Jay Sekulow,American Center for Law and Justice,1015,11
6334782252,Oceana,Oceana,1013,46
110177119192569,Knightscope,William Li,1012,1
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,1011,2
711478725532801,Civiqs,Civiqs,1009,5
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,1009,6
130475070381268,Treasurer Michael Frerichs,Illinois Treasurer's Office,1007,43
169938189569,Best Buddies Challenge,"BEST BUDDIES INTERNATIONAL, INC.",1005,1
112114435501106,Hugh Hewitt,Salem Media,1001,4
1721333671443168,Majority Forward,MAJORITY FORWARD,1001,1
14226615647,People For the American Way,People For the American Way,994,16
138226223674071,Reform L.A. Jails,"Reform LA Jails, A Committee Supporting Jail Reform and Community Reinvestment, Sponsored by Justice Teams Network, A Project of Tides Advocacy. Committee Major Funding by Open Philanthropy Action Fund and Tides Advocacy. FPPC ID #1403015.",986,2
8914040942,Chesapeake Bay Foundation,"CHESAPEAKE BAY FOUNDATION, INC., THE",983,41
37892661587,JDC,JDC,983,54
551328948361758,For Our Future WI,For Our Future Action Fund,980,27
6231686654,Compassion International,"COMPASSION INTERNATIONAL, INCORPORATED",979,1
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,974,17
788632858205691,Zero Waste Face,Zero Waste Face,971,600
260244824449371,Consumers for Quality Care,Consumers for Quality Care,966,4
2045861689064609,Providing Hope Va,PROVIDING HOPE VA,964,4
64064370581,North Texas Food Bank,North Texas Food Bank,964,56
109679290004,Los Angeles Regional Food Bank,LOS ANGELES REGIONAL FOOD BANK,959,75
1790258774419239,Representative Sharice Davids,Representative Sharice Davids,955,25
313842111853,Patrick McHenry,McHenry For Congress,950,3
2373657556181451,United For Oklahoma,United for Oklahoma,950,68
518194348194441,RepresentUs,RepresentUs,949,10
561888687609238,Congressman Andy Kim,Congressman Andy Kim,939,73
13063797831,Ben Ray Luján,PEOPLE FOR BEN,935,102
20959731389,Greater Chicago Food Depository,GREATER CHICAGO FOOD DEPOSITORY,930,24
1374134752633656,New Health Plans,Kevin George Cerula,927,6
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,924,53
107769029247935,Magee-Womens Research Institute & Foundation,Magee-Womens Research Institute & Foundation,920,16
1005599569633367,Total Clarity,DIAMOND PRODUCERS ASSOCIATION,918,75
10524821940,National Park Foundation,National Park Foundation,908,6
1852520761657982,4ocean,4ocean,906,4
21834534343,Volunteers of America,"VOLUNTEERS OF AMERICA, INC.",905,146
7192716362,Amnesty International USA,Amnesty International USA,904,175
393076924384930,People Power,American Civli Liberties Union,903,39
1510567695822499,Wisconsin Federation for Children,American Federation for Children,902,29
129285844553515,The Right To Shower,Conopco Inc,893,1
140499052681592,Bank of the West,BANK OF THE WEST,893,1
142474049098533,Robert Reich,Inequality Media,893,18
7341997111,Conservation International,Conservation International,884,39
151525932186806,When Democrats Turn Out,WHEN DEMOCRATS TURN OUT PAC,880,8
65364914445,Oklahoma Council of Public Affairs,"OKLAHOMA COUNCIL OF PUBLIC AFFAIRS, INC.",879,216
129240690441636,NAACP Legal Defense Fund,"N. A. A. C. P. LEGAL DEFENSE AND EDUCATIONAL FUND, INC.",879,16
1145019702185006,Alliance for Safety and Justice,Alliance for Safety and Justice,870,11
103221163140989,Pet Partners,Pet Partners,863,23
29727753421,New Jersey Education Association,NEW JERSEY EDUCATION ASSOCIATION,860,7
184222108343197,Blue Cross NC,Blue Cross NC,858,12
57846092173,American Bible Society,American Bible Society,854,21
153278754738777,Climate Reality,The Climate Reality Project,848,59
81124177592,Planned Parenthood of the Great Northwest and the Hawaiian Islands,Planned Parenthood of the Great Northwest and Hawaiian Islands,844,584
329272720965256,GALvanize USA,GALvanize USA,840,14
237224053850789,Mobile Workers Alliance,Mobile Workers Alliance,840,99
39958599070,Prevent Child Abuse North Carolina,Prevent Child Abuse North Carolina,837,29
96953371815,UJA-Federation of New York,UJA-Federation of New York,829,20
1421537094731638,Busca Vida Filmes,Busca Vida Filmes,827,1
8924408197,National Partnership for Women & Families,National Partnership for Women & Families,821,37
164581740257684,The Alaska Support Industry Alliance,The Alaska Support Industry Alliance,814,3
21455818797,Feed the Children,"FEED THE CHILDREN, INC.",812,44
100501598131634,Hotel and Motel Trafficking,X Social Media,807,6
1492543854305169,Pennsylvania State Treasurer Joe Torsella,PA 529 College and Career Savings Program,804,11
237477017606,Club for Growth,Club for Growth,804,4
20059927218,Chesapeake Climate Action Network,"CHESAPEAKE CLIMATE ACTION NETWORK, INC.",800,16
102909941095087,Stop Biased Banking,Center for Freedom and Prosperity,797,12
100137754724934,Trump 2020 Supporters,Proud Right Winger,788,29
750053788435485,Texas Oil and Gas Association,Texas Oil & Gas Association,774,4
12784656483,Union Rescue Mission,Union Rescue Mission,774,172
1520483958208446,Seeger Weiss LLP,SEEGER WEISS LLP,759,1
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,757,4
1682876188698809,United for Respect,United for Respect,754,14
162676813937511,Dan Forest,Committee to Elect Dan Forest,753,45
169034376562081,Valley Air District,San Joaquin Valley Air Pollution Control District,742,14
11111618026,Union of Concerned Scientists,"UNION OF CONCERNED SCIENTISTS, INC.",736,81
95001097200,National Association of Manufacturers,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA INC.,734,10
125119157535614,Fannie Mae,Fannie Mae,734,2
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",727,116
253791814655400,Doug Collins,COLLINS FOR CONGRESS,724,21
101147971367741,The Truth About Orsted,Citizens for the Preservation of Wainscott,721,12
132492254050920,American AF,AAF Nation,720,86
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,709,40
49978948774,Newsy,Newsy,708,6
377392172830318,Representative Ross Spano,Office of Congressman Ross Spano,708,25
42940254353,Human Rights Watch,"HUMAN RIGHTS WATCH, INC.",704,56
114226275387369,RepublicEn,republicEn,700,7
115543458525814,New Mexico Oil & Gas,New Mexico Oil and Gas Association,700,133
106123517504365,Jeff Sessions,FRIENDS OF SESSIONS SENATE COMMITTEE INC,695,4
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,690,114
110061623807565,Kelly Loeffler,Georgians for Kelly,685,21
179301645517086,Advanced Energy Economy,Advanced Energy Economy,681,11
59826489083,SELC,SOUTHERN ENVIRONMENTAL LAW CENTER,678,213
1825676954227750,Rep. Debbie Mucarsel-Powell,US House of Representatives,673,7
1836138529938551,Greater Half,Greater Half,668,58
8607847994,Iraq and Afghanistan Veterans of America,Iraq and Afghanistan Veterans of America,667,8
28446275521,Military Officers Association of America (MOAA),Military Officers Association of America,664,26
249220035141307,Planned Parenthood of Indiana and Kentucky,Planned Parenthood of Indiana and Kentucky,653,398
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,652,598
2222159294727972,Rep. Anthony Brindisi,Rep. Anthony Brindisi,644,4
56332452163,AMA Patients Action Network,American Medical Association,644,5
1166660030079480,National Democratic Redistricting Committee,National Democratic Redistricting Committee,643,21
92395203233,Arkansas Game and Fish Commission,"GAME & FISH COMMISSION, ARKANSAS",638,3
69983322463,Ted Cruz,TED CRUZ FOR SENATE,635,11
317157555861204,Kirkendall Dwyer Law Firm,Lymphoma Law,634,11
1745236555735695,EverBright Kids,EverBright Kids,631,7
271736323517059,Congressman Greg Steube,Congressman Greg Steube (FL-17),626,24
130186213705658,Columbia Bank,COLUMBIA STATE BANK,622,5
350523542184,Trust Women,Trust Women,621,3
112463982125496,Maryland State Education Association,MARYLAND STATE EDUCATION ASSOCIATION,619,73
496696933682736,Jeff Merkley,JEFF MERKLEY FOR OREGON,618,288
90107797870,Houston Food Bank,"HOUSTON FOOD BANK, THE",610,3
207549645977714,Families Belong Together,Families Belong Together,608,14
151485624911761,NYC Mayor's Office,City of New York,605,6
404929222888251,Conservation Colorado,Conservation Colorado,605,47
167818016571872,Ann & Robert H. Lurie Children's Hospital of Chicago,Ann & Robert H. Lurie Children's Hospital of Chicago,602,22
136126341809,American Bird Conservancy,American Bird Conservancy,595,15
746938465317981,Nuclear Matters,Nuclear Matters,594,18
357750373755,National Domestic Workers Alliance,National Domestic Workers Alliance,593,16
174009339411865,SmartNews,"SmartNews International, Inc.",592,2901
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,590,91
6240652407,Young America's Foundation,YOUNG AMERICA'S FOUNDATION INC,586,204
589787637733608,Scherie S. Murray,SCHERIE MURRAY FOR CONGRESS,580,4
302182941354,AARP Advocates,AARP,578,1
11918108948,African Wildlife Foundation,AFRICAN WILDLIFE FOUNDATION,576,5
16223832249,RAINN,"RAPE, ABUSE AND INCEST NATIONAL NETWORK (RAINN)",575,42
541807025833154,Malala Fund,Malala Fund,572,2
402120963932260,Counterpoint,Counterpoint,564,6
295492370562282,Extraction Oil & Gas,Extraction Oil and Gas,564,7
353884701768878,Rep. Conor Lamb,Office of Congressman Conor Lamb,562,3
1671840619787828,Nuclear Powers PA,Nuclear Powers Pennsylvania,558,24
46196975437,Children's Rights,"CHILDREN'S RIGHTS, INC.",556,77
90527934565,Global Energy Institute,The U.S. Chamber of Commerce,553,51
1389807071117013,Lynn Afendoulis,Lynn Afendoulis for Congress,552,12
971668776283950,PolicyEd,Hoover Institution,551,133
580817989082746,UnRestrict Minnesota,UnRestrict MN,550,313
684016825122195,Andy Thorburn for OC Board of Education,Andy Thorburn for Orange County Board of Education 2020,549,1
212710169546965,Make America Great Again 2020,National Patriot Association,547,64
157402764294444,"Union Mission Ministries, Norfolk","UNION MISSION INC, THE",541,9
100598451298741,Make It Legal Florida,Make It Legal Florida,540,3
393932827634250,Dissent Pins,Common Practice,538,58
1290536624348001,Informed Immigrant,FWD.us Education Fund,537,55
227594571444676,Building New York's Best,"Carpenter Contractor Alliance of Metropolitan New York, Inc.",536,542
246138065436030,Dr. Knute Buehler,Knute for Congress,535,3
1799282383731277,TwoSeventy,Alexander Jared Deutsch,535,5
1664959567149320,Wholesome Culture,Wholesome Culture,533,40
101984764551026,Hope Town United,Hopetown United,533,36
107953199261156,ifaw,"INTERNATIONAL FUND FOR ANIMAL WELFARE, INC.",532,59
43287633515,Alliance for Climate Education,Alliance for Climate Education,531,32
1997948090437271,Global Emergency Response Coalition,Global Impact,531,17
307943569254319,Florida Rights Restoration Coalition,Florida Rights Restoration Coalition,530,4
1525992614110420,Franchise Action Network,Franchise Action Network Inc,529,2
146510229131,Donald Norcross,The Office of Congressman Donald Norcross,525,60
296240482878,Calvin Ball,The Calvin Ball Team,524,4
766619180022147,Senator John Cooper,Cooper for Senate,524,1
107334019308912,Olive Crest - USA,OLIVE CREST,522,19
293370004139621,Team John Bolton,JOHN BOLTON SUPER PAC,519,32
1029414573827063,Fight Back,Fight Back Fund,519,15
17911165812,Covenant House International,Covenant House,517,36
181183059253295,Dorsal Bracelets,Dorsal Bracelets,515,46
58401218435,National Pork Producers Council,National Pork Producers Council,515,9
163684173651518,SEIU Local 2015,SEIU LOCAL 2015,513,9
113676922032321,Larry Elder,Salem Media,510,3
2003006189814517,Rep. Jason Crow,Office of Rep. Jason Crow,509,28
598924810530984,Keeping America Great,FamTeeWorld,507,1
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,506,6
113330620093147,Sunny for Congress,Suneetha Chaparala,504,5
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,503,35
717417908274761,Lady Freethinker,Lady Freethinker,502,3
6502038524,First Book,FIRST BOOK,501,100
112032985481195,TWU Local 100,TWU Local 100,501,12
276702939702491,Santa Barbara for Safe & Local Transport,Santa Barbara for Safe and Local Transport,498,6
160288097329320,Missouri Secretary of State,Missouri Secretary of State,497,2
11309713071,Gates Foundation,Bill & Melinda Gates Foundation,496,12
19746387261,Humane Society International,Humane Society International,490,4
514442968569467,Northern Illinois Food Bank,NORTHERN ILLINOIS FOOD BANK,488,5
459890014763287,Rocky Mountain Values,Rocky Mountain Values,488,69
186703441342317,SAMMinistries-Overcoming Homelessness,SAMMinistries,483,3
3136140586411627,Jesse Reyes for Illinois Supreme Court,Committee to Elect Jesse G Reyes,479,2
